votes,no_answers,questions,links,tags
1,1,Using feature learning for a medical text classification problem [closed],/questions/1784/using-feature-learning-for-a-medical-text-classification-problem,"research,deep-learning,classification,language-processing,training"
1,1,Using feature learning for a medical text classification problem [closed],/questions/1784/using-feature-learning-for-a-medical-text-classification-problem,"research,deep-learning,classification,language-processing,training"
0,,Autoencoders' gradient when using tied weights [migrated],/questions/2136/autoencoders-gradient-when-using-tied-weights,"neural-networks,machine-learning"
4,1,Can autoencoders be used for supervised learning?,/questions/153/can-autoencoders-be-used-for-supervised-learning,"neural-networks,unsupervised-learning"
11,2,What research has been done in the domain of “Identifying sarcasm in text”?,/questions/198/what-research-has-been-done-in-the-domain-of-identifying-sarcasm-in-text,"natural-language,research"
1,,Genetic algorithms and isolating part of population,/questions/2083/genetic-algorithms-and-isolating-part-of-population,genetic-algorithms
1,,What is good way of start learning AI step by step? [closed],/questions/2077/what-is-good-way-of-start-learning-ai-step-by-step,"ai-design,training"
0,,Autoencoders' gradient when using tied weights [migrated],/questions/2136/autoencoders-gradient-when-using-tied-weights,"neural-networks,machine-learning"
1,,"Given enough computational resources, do we currently have any algorithms which could achieve AI?",/questions/1630/given-enough-computational-resources-do-we-currently-have-any-algorithms-which,"turing-test,strong-ai,ai-design"
3,4,Advantages of having self-driving cars,/questions/2127/advantages-of-having-self-driving-cars,"research,self-driving,cars"
1,1,What can be done to correct for sampling bias introduced from (noisy) training data while training a DNN?,/questions/1710/what-can-be-done-to-correct-for-sampling-bias-introduced-from-noisy-training-d,"neural-networks,deep-network,training"
0,,Wouldn't an AI that specializes in making other AI be an AGI if they can cooperate?,/questions/2040/wouldnt-an-ai-that-specializes-in-making-other-ai-be-an-agi-if-they-can-coopera,"neural-networks,philosophy,agi"
0,2,Are Convolutional Neural Networks better than existing image recognition libraries that don't use CNNs?,/questions/1982/are-convolutional-neural-networks-better-than-existing-image-recognition-librari,"image-recognition,comparison,cnn"
2,2,How could we define passion in a machine in reference to Artificial Intelligence?,/questions/1964/how-could-we-define-passion-in-a-machine-in-reference-to-artificial-intelligence,"philosophy,emotional-intelligence"
2,,Why do self-driving cars use radar? Couldn't they use LIDAR for everything radar does? [on hold],/questions/2158/why-do-self-driving-cars-use-radar-couldnt-they-use-lidar-for-everything-radar,cars
2,1,Are there any anthropological studies involving AI right now?,/questions/1761/are-there-any-anthropological-studies-involving-ai-right-now,"research,implementation"
-1,,Bootstrapping prior to running classification learner app in Matlab [migrated],/questions/2141/bootstrapping-prior-to-running-classification-learner-app-in-matlab,"machine-learning,algorithm,classification,models"
3,2,Is there any simple testing data?,/questions/2122/is-there-any-simple-testing-data,neural-networks
1,,Why does unsupervised pre-training help in deep learning?,/questions/88/why-does-unsupervised-pre-training-help-in-deep-learning,"pre-training,unsupervised-learning"
4,,What was the first machine that was able to carry on a conversation?,/questions/191/what-was-the-first-machine-that-was-able-to-carry-on-a-conversation,"history,turing-test,natural-language"
7,,What are the practical considerations of using a genetic algorithm to decide the structure of a neural network?,/questions/1618/what-are-the-practical-considerations-of-using-a-genetic-algorithm-to-decide-the,"neural-networks,genetic-algorithms"
3,,Is there a trade-off between flexibility and efficiency?,/questions/1989/is-there-a-trade-off-between-flexibility-and-efficiency,"ai-design,strong-ai,weak-ai"
1,,AI becoming sentient plausibility?,/questions/2131/ai-becoming-sentient-plausibility,"machine-learning,deep-learning"
2,4,Asking for references regarding the question “Is a concept of personality useful for Strong AGI?”,/questions/1593/asking-for-references-regarding-the-question-is-a-concept-of-personality-useful,"philosophy,strong-ai,ai-design,human-inspired"
1,2,Why are autonomous cars categorized as AI?,/questions/2126/why-are-autonomous-cars-categorized-as-ai,"self-driving,strong-ai,cars,weak-ai"
0,,Using AI capabilities for coding review [closed],/questions/1540/using-ai-capabilities-for-coding-review,"neural-networks,training,computer-programming"
7,,Could an AI think laterally while avoiding “ethically suboptimal” choices?,/questions/2020/could-an-ai-think-laterally-while-avoiding-ethically-suboptimal-choices,"agi,problem-solving"
6,,How do evolutionary algorithms have advantages over the conventional backpropagation methods?,/questions/1539/how-do-evolutionary-algorithms-have-advantages-over-the-conventional-backpropaga,"neural-networks,comparison,backpropagation,evolutionary-algorithms"
2,2,Can programming cause passive or aggressive behavior in AIs?,/questions/1931/can-programming-cause-passive-or-aggressive-behavior-in-ais,"philosophy,emotional-intelligence,human-like"
3,4,Advantages of having self-driving cars,/questions/2127/advantages-of-having-self-driving-cars,"research,self-driving,cars"
5,1,"How good is AI at generating new, unseen [visual] examples?",/questions/1750/how-good-is-ai-at-generating-new-unseen-visual-examples,"research,image-recognition"
0,1,"How can one intuitively understand generative v/s discriminative models, specifically with respect to when each is useful?",/questions/2106/how-can-one-intuitively-understand-generative-v-s-discriminative-models-specifi,"machine-learning,models"
1,,"What sort of game problems can Neural-Networks and Genetic Algorithms solve, and how are they typically implemented?",/questions/2117/what-sort-of-game-problems-can-neural-networks-and-genetic-algorithms-solve-and,"neural-networks,gaming,genetic-algorithms"
4,,What artificial intelligence strategies are useful for summarization?,/questions/157/what-artificial-intelligence-strategies-are-useful-for-summarization,"algorithm,natural-language,pattern-recognition"
5,,Why is cross-over a part of genetic algorithms?,/questions/1541/why-is-cross-over-a-part-of-genetic-algorithms,genetic-algorithms
1,3,Would a sentient AI try to create a more optimised AI which would eventually overtake AI 1.0?,/questions/1976/would-a-sentient-ai-try-to-create-a-more-optimised-ai-which-would-eventually-ove,ai-design
0,1,"How can one intuitively understand generative v/s discriminative models, specifically with respect to when each is useful?",/questions/2106/how-can-one-intuitively-understand-generative-v-s-discriminative-models-specifi,"machine-learning,models"
2,2,Does a quantum computer resolve the halting problem and would that advance strong AI? [duplicate],/questions/186/does-a-quantum-computer-resolve-the-halting-problem-and-would-that-advance-stron,"quantum-computing,halting-problem,strong-ai"
1,1,Who are thought leaders in the chatbot space?,/questions/1825/who-are-thought-leaders-in-the-chatbot-space,chat-bots
3,1,"What kind of road/weather conditions can AI-driven cars can deal with, as of 2016?",/questions/1946/what-kind-of-road-weather-conditions-can-ai-driven-cars-can-deal-with-as-of-201,"self-driving,cars"
4,,How can action recognition be achieved?,/questions/1481/how-can-action-recognition-be-achieved,"image-recognition,training,action-recognition,subspace-analysis"
9,1,AGI official government reports or regulations already in place,/questions/1731/agi-official-government-reports-or-regulations-already-in-place,"agi,legal"
4,,How do I know when to use which Monte Carlo method?,/questions/1534/how-do-i-know-when-to-use-which-monte-carlo-method,"gaming,comparison,monte-carlo-search"
1,,Why was ELIZA able to induce “delusional thinking”?,/questions/1716/why-was-eliza-able-to-induce-delusional-thinking,"history,turing-test,emotional-intelligence,chat-bots"
1,2,Why are autonomous cars categorized as AI?,/questions/2126/why-are-autonomous-cars-categorized-as-ai,"self-driving,strong-ai,cars,weak-ai"
5,,References for continuous state/action spaces MDPs and Reinforcement Learning?,/questions/1733/references-for-continuous-state-action-spaces-mdps-and-reinforcement-learning,"research,reinforcement-learning,control-problem,reference-request"
1,,"Which algorithm is robust to noisy data? (Decision Tree, K-Mean clustering, HMM) [migrated]",/questions/2060/which-algorithm-is-robust-to-noisy-data-decision-tree-k-mean-clustering-hmm,"models,unsupervised-learning"
3,,Purpose of a 'time constant' in a recurrent neural network? [migrated],/questions/2112/purpose-of-a-time-constant-in-a-recurrent-neural-network,neural-networks
2,1,How does “novelty search” work?,/questions/1296/how-does-novelty-search-work,genetic-algorithms
4,,Are there any ongoing projects which use the Stack Exchange for machine learning?,/questions/1963/are-there-any-ongoing-projects-which-use-the-stack-exchange-for-machine-learning,"ai-design,self-learning,knowledge-representation"
-1,,Suggestion for university for PhD in computer vision [closed],/questions/2103/suggestion-for-university-for-phd-in-computer-vision,"machine-learning,image-recognition,strong-ai,computer-vision"
-1,,How will an AI comprehend the ethics of “right” and “wrong”?,/questions/2069/how-will-an-ai-comprehend-the-ethics-of-right-and-wrong,"machine-learning,ethics"
0,,What is the best .net programming language for artificial intelligence programming? [closed],/questions/1876/what-is-the-best-net-programming-language-for-artificial-intelligence-programmi,intelligent-agent
3,,How can neural networks deal with varying input sizes?,/questions/2008/how-can-neural-networks-deal-with-varying-input-sizes,"neural-networks,machine-learning,deep-learning,conv-neural-network,implementation"
4,,Is anybody still using Conceptual Dependency Theory?,/questions/1859/is-anybody-still-using-conceptual-dependency-theory,"nlp,knowledge-representation"
0,,Calculate target output of neuron in hidden layers of neural network [migrated],/questions/2155/calculate-target-output-of-neuron-in-hidden-layers-of-neural-network,"neural-networks,deep-network,hidden-layers,backpropagation"
0,,Combination of Gibbs sampling and Gradient descent [migrated],/questions/2071/combination-of-gibbs-sampling-and-gradient-descent,"optimization,statistical-ai"
20,,What is the difference between strong-AI and weak-AI?,/questions/74/what-is-the-difference-between-strong-ai-and-weak-ai,"strong-ai,weak-ai,terminology"
1,,Why was ELIZA able to induce “delusional thinking”?,/questions/1716/why-was-eliza-able-to-induce-delusional-thinking,"history,turing-test,emotional-intelligence,chat-bots"
5,1,What technologies are needed for a self-driving car?,/questions/1592/what-technologies-are-needed-for-a-self-driving-car,"self-driving,ai-design,high-level-design"
2,,Is there a way to define the boundaries of the optimal size of a training set?,/questions/1323/is-there-a-way-to-define-the-boundaries-of-the-optimal-size-of-a-training-set,"neural-networks,training,optimization"
0,,What are the benefits of the VGDL over the ALE?,/questions/1490/what-are-the-benefits-of-the-vgdl-over-the-ale,"agi,gaming"
8,,Could a Boltzmann machine store more patterns than a Hopfield net?,/questions/1525/could-a-boltzmann-machine-store-more-patterns-than-a-hopfield-net,"neural-networks,comparison,recurrent-neural-networks,associative-memory"
11,9,What purpose would be served by developing AI's that experience human-like emotions?,/questions/1700/what-purpose-would-be-served-by-developing-ais-that-experience-human-like-emoti,"philosophy,emotional-intelligence"
3,1,"What kind of road/weather conditions can AI-driven cars can deal with, as of 2016?",/questions/1946/what-kind-of-road-weather-conditions-can-ai-driven-cars-can-deal-with-as-of-201,"self-driving,cars"
2,,What non-math/CS classes are good supplements for computational neuroscience and/or linguistics? [closed],/questions/1713/what-non-math-cs-classes-are-good-supplements-for-computational-neuroscience-and,"research,machine-learning,neuromorphic-computing,computational-linguistics"
1,1,State representation of position in 2D plane for Reinforcement Learning (Q Learning),/questions/1909/state-representation-of-position-in-2d-plane-for-reinforcement-learning-q-learn,"models,implementation,reinforcement-learning"
1,,Feasibility of sorting a basket of clothes in the real world,/questions/2055/feasibility-of-sorting-a-basket-of-clothes-in-the-real-world,"neural-networks,image-recognition"
7,,What exactly are genetic algorithms and what sort of problems are they good for?,/questions/240/what-exactly-are-genetic-algorithms-and-what-sort-of-problems-are-they-good-for,genetic-algorithms
1,,"Given enough computational resources, do we currently have any algorithms which could achieve AI?",/questions/1630/given-enough-computational-resources-do-we-currently-have-any-algorithms-which,"turing-test,strong-ai,ai-design"
-1,,How will an AI comprehend the ethics of “right” and “wrong”?,/questions/2069/how-will-an-ai-comprehend-the-ethics-of-right-and-wrong,"machine-learning,ethics"
2,1,What are the ethical implications of creating (possibly sentient) AI systems? [closed],/questions/1501/what-are-the-ethical-implications-of-creating-possibly-sentient-ai-systems,ethics
1,1,Difference between agent function and agent program,/questions/1756/difference-between-agent-function-and-agent-program,"definitions,models,intelligent-agent,reinforcement-learning"
1,1,State representation of position in 2D plane for Reinforcement Learning (Q Learning),/questions/1909/state-representation-of-position-in-2d-plane-for-reinforcement-learning-q-learn,"models,implementation,reinforcement-learning"
7,,Have any AI systems yet been developed that can knowingly lie to / deceive a human?,/questions/1806/have-any-ai-systems-yet-been-developed-that-can-knowingly-lie-to-deceive-a-hum,"nlp,deception,human-like"
2,,Recurrent neural networks with hidden layer,/questions/1923/recurrent-neural-networks-with-hidden-layer,"hidden-layers,recurrent-neural-networks"
0,,What computational problems can be efficiently resolved by Hyper-heuristics? [duplicate],/questions/2028/what-computational-problems-can-be-efficiently-resolved-by-hyper-heuristics,"machine-learning,optimization,heuristics"
15,2,"Is the Turing Test, or any of its variants, a reliable test of artificial intelligence?",/questions/15/is-the-turing-test-or-any-of-its-variants-a-reliable-test-of-artificial-intell,"turing-test,strong-ai,intelligent-agent,weak-ai"
1,,Have any chatbots fooled the judges and won the Loebner Prize Gold medal yet?,/questions/1628/have-any-chatbots-fooled-the-judges-and-won-the-loebner-prize-gold-medal-yet,"history,turing-test,chat-bots"
1,1,"Once self-driving cars are perfected, will they replace old-fashioned cars? [closed]",/questions/1567/once-self-driving-cars-are-perfected-will-they-replace-old-fashioned-cars,"self-driving,cars"
-5,,What are the approaches to predict sequence of π numbers? [closed],/questions/225/what-are-the-approaches-to-predict-sequence-of-%cf%80-numbers,"training,math,recurrent-neural-networks"
7,,How close are we to creating Ex Machina?,/questions/1420/how-close-are-we-to-creating-ex-machina,"research,agi,robots"
0,,"What is the difference between abstract, autonomous and virtual intelligent agents?",/questions/1515/what-is-the-difference-between-abstract-autonomous-and-virtual-intelligent-agen,"comparison,intelligent-agent,definitions"
2,,Why would someone want to simulate emotional desicion-making within an AI? [closed],/questions/1617/why-would-someone-want-to-simulate-emotional-desicion-making-within-an-ai,emotional-intelligence
1,1,"Once self-driving cars are perfected, will they replace old-fashioned cars? [closed]",/questions/1567/once-self-driving-cars-are-perfected-will-they-replace-old-fashioned-cars,"self-driving,cars"
1,,What are the current approaches for AI to learn a foreign language just from English books?,/questions/1632/what-are-the-current-approaches-for-ai-to-learn-a-foreign-language-just-from-eng,"research,machine-learning,self-learning,language-processing"
1,1,Difference between agent function and agent program,/questions/1756/difference-between-agent-function-and-agent-program,"definitions,models,intelligent-agent,reinforcement-learning"
0,,Wouldn't an AI that specializes in making other AI be an AGI if they can cooperate?,/questions/2040/wouldnt-an-ai-that-specializes-in-making-other-ai-be-an-agi-if-they-can-coopera,"neural-networks,philosophy,agi"
4,2,What genetic algorithm designs are there that includes models of epigenetics?,/questions/68/what-genetic-algorithm-designs-are-there-that-includes-models-of-epigenetics,genetic-algorithms
2,4,Asking for references regarding the question “Is a concept of personality useful for Strong AGI?”,/questions/1593/asking-for-references-regarding-the-question-is-a-concept-of-personality-useful,"philosophy,strong-ai,ai-design,human-inspired"
0,,Artificial writing system [closed],/questions/2054/artificial-writing-system,"machine-learning,training"
0,,Heuristic search in mdps reference [closed],/questions/2142/heuristic-search-in-mdps-reference,"reinforcement-learning,heuristics,markov-chain,probabilistic"
0,2,What are the most pressing fundamental questions and gaps in AI research? [closed],/questions/1433/what-are-the-most-pressing-fundamental-questions-and-gaps-in-ai-research,"research,ethics,social,reasoning"
0,,"What is the difference between abstract, autonomous and virtual intelligent agents?",/questions/1515/what-is-the-difference-between-abstract-autonomous-and-virtual-intelligent-agen,"comparison,intelligent-agent,definitions"
2,1,How to represent a large decision tree?,/questions/1783/how-to-represent-a-large-decision-tree,"machine-learning,decision-theory,implementation"
4,1,How does Wit.ai convert sentences into structured data?,/questions/1685/how-does-wit-ai-convert-sentences-into-structured-data,"language-processing,nlp,structured-data,wit.ai,voice-recognition"
8,,Number of layers in a Neural network,/questions/182/number-of-layers-in-a-neural-network,"neural-networks,hidden-layers"
1,,Are FFNN (MLP) Lipschitz functions?,/questions/1925/are-ffnn-mlp-lipschitz-functions,"neural-networks,optimization,math"
5,2,Are there any results on how difficult certain languages are to learn for chatbots?,/questions/1580/are-there-any-results-on-how-difficult-certain-languages-are-to-learn-for-chatbo,"chat-bots,language-processing"
9,,Would Google's self-driving-car stop when it sees somebody with a T-shirt with a stop sign printed on it?,/questions/1561/would-googles-self-driving-car-stop-when-it-sees-somebody-with-a-t-shirt-with-a,"self-driving,decision-theory,cars,object-recognition"
4,,What kind of body (if any) does intelligence require?,/questions/1415/what-kind-of-body-if-any-does-intelligence-require,"agi,gofai,embodied-cognition"
2,,What is the difference between AI and robots?,/questions/1462/what-is-the-difference-between-ai-and-robots,"comparison,robots"
12,,Are Siri and Cortana AI programs?,/questions/1461/are-siri-and-cortana-ai-programs,"emotional-intelligence,intelligence-testing,natural-language,applications"
9,,Would Google's self-driving-car stop when it sees somebody with a T-shirt with a stop sign printed on it?,/questions/1561/would-googles-self-driving-car-stop-when-it-sees-somebody-with-a-t-shirt-with-a,"self-driving,decision-theory,cars,object-recognition"
2,2,Can neural networks be better than human experts at prediction of greyhound racing results?,/questions/1625/can-neural-networks-be-better-than-human-experts-at-prediction-of-greyhound-raci,"neural-networks,research"
2,,How to distinguish AI modeling from implementation?,/questions/1297/how-to-distinguish-ai-modeling-from-implementation,"models,comparison,implementation"
0,,"When using neural networks to detect features in an image, how can locate that specific feature in the original image?",/questions/2037/when-using-neural-networks-to-detect-features-in-an-image-how-can-locate-that-s,"neural-networks,deep-learning,conv-neural-network,computer-vision"
4,2,What is a Markov chain and how can it be used in creating artificial intelligence?,/questions/37/what-is-a-markov-chain-and-how-can-it-be-used-in-creating-artificial-intelligenc,"genetic-algorithms,markov-chain,probabilistic"
5,1,What technologies are needed for a self-driving car?,/questions/1592/what-technologies-are-needed-for-a-self-driving-car,"self-driving,ai-design,high-level-design"
0,1,What is the definition of artificial intelligence? [duplicate],/questions/2125/what-is-the-definition-of-artificial-intelligence,definitions
4,,Must people tell an AI which algorithm it should use? Can an AI learn algorithms by itself?,/questions/2033/must-people-tell-an-ai-which-algorithm-it-should-use-can-an-ai-learn-algorithms,"machine-learning,algorithm"
-1,,Which AI algorithms are used by Google for its hot internet balloons?,/questions/2015/which-ai-algorithms-are-used-by-google-for-its-hot-internet-balloons,"algorithm,reinforcement-learning"
-1,,Bootstrapping prior to running classification learner app in Matlab [migrated],/questions/2141/bootstrapping-prior-to-running-classification-learner-app-in-matlab,"machine-learning,algorithm,classification,models"
3,,Is AI programming useful in everyday programs?,/questions/2092/is-ai-programming-useful-in-everyday-programs,"self-learning,applications,learning-theory"
0,,What is peculiar about the human brain? [migrated],/questions/2148/what-is-peculiar-about-the-human-brain,"intelligence-testing,storage"
3,,"Why did “Artificial Intelligence” stay intact as a coherent, unified field of study?",/questions/1838/why-did-artificial-intelligence-stay-intact-as-a-coherent-unified-field-of-st,history
0,,"When using neural networks to detect features in an image, how can locate that specific feature in the original image?",/questions/2037/when-using-neural-networks-to-detect-features-in-an-image-how-can-locate-that-s,"neural-networks,deep-learning,conv-neural-network,computer-vision"
1,2,Is it ethical to implement self-defence for street walking AI robots?,/questions/1376/is-it-ethical-to-implement-self-defence-for-street-walking-ai-robots,"ethics,decision-theory,robots"
0,2,How to create an AI snake for a video game?,/questions/2176/how-to-create-an-ai-snake-for-a-video-game,gaming
15,2,"Is the Turing Test, or any of its variants, a reliable test of artificial intelligence?",/questions/15/is-the-turing-test-or-any-of-its-variants-a-reliable-test-of-artificial-intell,"turing-test,strong-ai,intelligent-agent,weak-ai"
2,1,Are there any anthropological studies involving AI right now?,/questions/1761/are-there-any-anthropological-studies-involving-ai-right-now,"research,implementation"
3,,What is predicate argument recognition?,/questions/1678/what-is-predicate-argument-recognition,"definitions,nlp,computational-linguistics"
6,1,What's the difference between hyperbolic tangent and sigmoid neurons?,/questions/113/whats-the-difference-between-hyperbolic-tangent-and-sigmoid-neurons,"deep-network,neural-networks,machine-learning,hidden-layers"
4,,What are Hyper-heuristics?,/questions/1751/what-are-hyper-heuristics,"definitions,optimization"
10,,Are there any AI that have passed the MIST test so far?,/questions/1397/are-there-any-ai-that-have-passed-the-mist-test-so-far,"history,intelligence-testing,turing-test,chat-bots"
0,,How does Google's self-driving car identify pedestrians? [closed],/questions/1560/how-does-googles-self-driving-car-identify-pedestrians,"self-driving,cars,object-recognition"
2,2,Is there a strong argument that survival instinct is a prerequisite for creating an AGI?,/questions/197/is-there-a-strong-argument-that-survival-instinct-is-a-prerequisite-for-creating,agi
2,,Are there any learning algorithms as powerful as “deep” architectures?,/questions/1384/are-there-any-learning-algorithms-as-powerful-as-deep-architectures,"deep-network,comparison,architecture"
8,,How can the EQ of an AI program be measured?,/questions/1357/how-can-the-eq-of-an-ai-program-be-measured,"emotional-intelligence,intelligence-testing"
0,,How does Google's self-driving car identify pedestrians? [closed],/questions/1560/how-does-googles-self-driving-car-identify-pedestrians,"self-driving,cars,object-recognition"
3,,Research for misbehavior detection in WiFI networks,/questions/1601/research-for-misbehavior-detection-in-wifi-networks,"neural-networks,research,misbehaviour-detection"
1,,How does unsupervised learning model learn?,/questions/220/how-does-unsupervised-learning-model-learn,"models,unsupervised-learning"
3,,How can neural networks deal with varying input sizes?,/questions/2008/how-can-neural-networks-deal-with-varying-input-sizes,"neural-networks,machine-learning,deep-learning,conv-neural-network,implementation"
4,4,Is a genetic algorithm an example of artificial intelligence?,/questions/28/is-a-genetic-algorithm-an-example-of-artificial-intelligence,"self-learning,genetic-algorithms"
2,1,How important is true randomness in AI designs?,/questions/1332/how-important-is-true-randomness-in-ai-designs,"ai-design,randomness"
1,1,Difference between agent function and agent program,/questions/1756/difference-between-agent-function-and-agent-program,"definitions,models,intelligent-agent,reinforcement-learning"
0,,What computational problems can be efficiently resolved by Hyper-heuristics? [duplicate],/questions/2028/what-computational-problems-can-be-efficiently-resolved-by-hyper-heuristics,"machine-learning,optimization,heuristics"
1,1,State representation of position in 2D plane for Reinforcement Learning (Q Learning),/questions/1909/state-representation-of-position-in-2d-plane-for-reinforcement-learning-q-learn,"models,implementation,reinforcement-learning"
4,,How to classify data which is spiral in shape?,/questions/1987/how-to-classify-data-which-is-spiral-in-shape,"neural-networks,classification,tensorflow"
4,,Are there any ongoing projects which use the Stack Exchange for machine learning?,/questions/1963/are-there-any-ongoing-projects-which-use-the-stack-exchange-for-machine-learning,"ai-design,self-learning,knowledge-representation"
1,,How can AI help developer to develop things,/questions/2118/how-can-ai-help-developer-to-develop-things,"intelligence-testing,security"
4,2,AGI vs. task-specific algorithms: when people realized these are two different goals?,/questions/1774/agi-vs-task-specific-algorithms-when-people-realized-these-are-two-different-g,history
3,,How can neural networks deal with varying input sizes?,/questions/2008/how-can-neural-networks-deal-with-varying-input-sizes,"neural-networks,machine-learning,deep-learning,conv-neural-network,implementation"
1,1,Can we destroy artificial general intelligence without its consent?,/questions/1289/can-we-destroy-artificial-general-intelligence-without-its-consent,ethics
1,,"What sort of game problems can Neural-Networks and Genetic Algorithms solve, and how are they typically implemented?",/questions/2117/what-sort-of-game-problems-can-neural-networks-and-genetic-algorithms-solve-and,"neural-networks,gaming,genetic-algorithms"
1,,What are the approaches to teach AI to how to render html page based on its source code?,/questions/1606/what-are-the-approaches-to-teach-ai-to-how-to-render-html-page-based-on-its-sour,"neural-networks,implementation,computer-programming"
4,,How to resolve lexical ambiguity in natural language processing?,/questions/218/how-to-resolve-lexical-ambiguity-in-natural-language-processing,"nlp,lexical-recognition"
5,,What kind of problems require more than 2 hidden layers?,/questions/63/what-kind-of-problems-require-more-than-2-hidden-layers,"deep-network,hidden-layers"
