votes,no_answers,questions,links,tags
1,,"Question about Telescopes , observations and explanations of the observations",/questions/18703/question-about-telescopes-observations-and-explanations-of-the-observations,"telescope,angular-resolution,refractor-telescope"
0,,"Is the potential energy of vacuum energy, virtual particles and/or dark energy infinite? [duplicate]",/questions/18718/is-the-potential-energy-of-vacuum-energy-virtual-particles-and-or-dark-energy-i,"universe,space-time,dark-energy,vacuum"
11,,Multi-messenger astronomy: what is the potential of simultaneous detection of gravitational waves and neutrinos from a supernova?,/questions/18559/multi-messenger-astronomy-what-is-the-potential-of-simultaneous-detection-of-gr,"supernova,gravitational-waves,neutrinos,interferometry"
-4,,Danger to earth due to presenc eof small planets [closed],/questions/18693/danger-to-earth-due-to-presenc-eof-small-planets,"planet,earth"
1,,Astronomy & machine learning. Where to start? [closed],/questions/18672/astronomy-machine-learning-where-to-start,"observation,astrophysics,radio-astronomy,data-analysis"
2,,Amateur astronomy plan for GCSE students,/questions/18135/amateur-astronomy-plan-for-gcse-students,"amateur-observing,fundamental-astronomy,astrophotography"
0,3,Sudden Effects of Sun Disappearing,/questions/18543/sudden-effects-of-sun-disappearing,"sun,earth,astrophysics"
-2,1,Why Did The Universe Expand? [duplicate],/questions/18623/why-did-the-universe-expand,"black-hole,cosmology,singularity"
2,2,Gravitational field released during supernovae,/questions/14328/gravitational-field-released-during-supernovae,"general-relativity,supernova,gravitational-waves"
1,3,What is the oldest thing?,/questions/18680/what-is-the-oldest-thing,"space-time,time-dilation"
2,3,How did the Milky Way and Andromeda Galaxy separate before they began their collision course?,/questions/18242/how-did-the-milky-way-and-andromeda-galaxy-separate-before-they-began-their-coll,"gravity,galaxy,cosmology,milky-way"
0,,Why haven't I seen the Moon?,/questions/18563/why-havent-i-seen-the-moon,"observation,amateur-observing,moon"
0,,Map projections used for star maps,/questions/18219/map-projections-used-for-star-maps,star
-1,1,Explanation for the first spinning neutron star detected in the Andromeda galaxy?,/questions/14441/explanation-for-the-first-spinning-neutron-star-detected-in-the-andromeda-galaxy,"black-hole,space,neutron-star"
1,,"Is there a spectrum of polarization? Does polarization vary depending on wavelength, from one and the same source?",/questions/18227/is-there-a-spectrum-of-polarization-does-polarization-vary-depending-on-wavelen,"light,optics,polarization"
9,,Exact measurement of a light year,/questions/18112/exact-measurement-of-a-light-year,"light,distances,speed"
4,1,How could a 20 inch space telescope “be able to make out Earth-size planets” orbiting alpha Centari?,/questions/18726/how-could-a-20-inch-space-telescope-be-able-to-make-out-earth-size-planets-orb,"exoplanet,space-telescope,angular-resolution,instruments"
0,,Not clear on how to calculate sub-radar latitude [closed],/questions/18510/not-clear-on-how-to-calculate-sub-radar-latitude,"telescope,astrophysics"
16,2,Does the recent news of “ten times more galaxies” imply that there is correspondingly less dark matter?,/questions/18708/does-the-recent-news-of-ten-times-more-galaxies-imply-that-there-is-correspond,"universe,cosmology,dark-matter,observable-universe,hubble-telescope"
1,,"In which two constellations, were the two gravitational wave events of 2016?",/questions/18534/in-which-two-constellations-were-the-two-gravitational-wave-events-of-2016,gravitational-waves
0,3,Sudden Effects of Sun Disappearing,/questions/18543/sudden-effects-of-sun-disappearing,"sun,earth,astrophysics"
1,,Flux density to flux,/questions/18671/flux-density-to-flux,"observation,luminosity"
0,,"If the universe is 'flat', what shape is it? [duplicate]",/questions/17821/if-the-universe-is-flat-what-shape-is-it,"universe,fundamental-astronomy"
4,1,Can I do M.Sc in physics to become an astronomer after doing B.Tech in aeronautical engineering?,/questions/18533/can-i-do-m-sc-in-physics-to-become-an-astronomer-after-doing-b-tech-in-aeronauti,astrophysics
2,,What is left of a universe where no matter and energy exist and is there a term for this?,/questions/18417/what-is-left-of-a-universe-where-no-matter-and-energy-exist-and-is-there-a-term,"cosmology,terminology,fate-of-universe"
1,1,Could the Sun's bending of light be measured on photographic plates before Einstein's prediction?,/questions/14302/could-the-suns-bending-of-light-be-measured-on-photographic-plates-before-einst,"space-time,general-relativity,history,photography,newtonian-gravity"
0,,Is time's unique direction the same consequence as space expansion ? Is expansion homogeneous? [duplicate],/questions/18576/is-times-unique-direction-the-same-consequence-as-space-expansion-is-expansio,"universe,space-time,space,expansion"
2,,Milky Way position on the sky,/questions/18229/milky-way-position-on-the-sky,"milky-way,data-analysis,star-catalogues"
1,,What would we see if all stars disappeared simultaneously?,/questions/18305/what-would-we-see-if-all-stars-disappeared-simultaneously,"star,amateur-observing"
2,2,Stellar Mapping and Coordinates [closed],/questions/18203/stellar-mapping-and-coordinates,"star,distances,coordinate,naming"
-1,1,How do we know that there is no border at the end of “infinite” space? [duplicate],/questions/14453/how-do-we-know-that-there-is-no-border-at-the-end-of-infinite-space,"cosmology,space"
9,,Exact measurement of a light year,/questions/18112/exact-measurement-of-a-light-year,"light,distances,speed"
6,1,How did ancient astronomers know to order the planets from the closest to the farthest from the Sun?,/questions/18725/how-did-ancient-astronomers-know-to-order-the-planets-from-the-closest-to-the-fa,"orbit,sun,mars,astrometry,geocentrism"
3,,Is there a consensus as to where terrrestrial planet atmospheres in our solar system came from?,/questions/18740/is-there-a-consensus-as-to-where-terrrestrial-planet-atmospheres-in-our-solar-sy,"planet,atmosphere"
3,,"Why are galaxies distributed as walls and voids, or spider webs?",/questions/18686/why-are-galaxies-distributed-as-walls-and-voids-or-spider-webs,"gravity,galaxy,universe,cosmology,expansion"
0,,Polar motion coefficient,/questions/18730/polar-motion-coefficient,"orbit,coordinate,orbital-mechanics"
1,1,Is it possible to calculate distance between two objects?,/questions/18063/is-it-possible-to-calculate-distance-between-two-objects,"star,distances"
2,1,Average number and type of planets orbiting given star types,/questions/18339/average-number-and-type-of-planets-orbiting-given-star-types,"planet,orbit,exoplanet,planetary-systems"
2,,How would a small TCO (temporarily captured orbiter) or other natural Earth satellite most likely be detected?,/questions/18387/how-would-a-small-tco-temporarily-captured-orbiter-or-other-natural-earth-sate,"telescope,natural-satellites,space-telescope,near-earth-object,gaia"
3,,"Why are galaxies distributed as walls and voids, or spider webs?",/questions/18686/why-are-galaxies-distributed-as-walls-and-voids-or-spider-webs,"gravity,galaxy,universe,cosmology,expansion"
4,,Energy deposition in planet Earth due to gravitational waves,/questions/18488/energy-deposition-in-planet-earth-due-to-gravitational-waves,"earth,gravitational-waves"
15,4,Did the earth form outside the solar system?,/questions/18504/did-the-earth-form-outside-the-solar-system,"sun,earth,accretion-discs,origin-of-life"
8,,In what parts of the world is it impossible to view the night sky due to light pollution?,/questions/18585/in-what-parts-of-the-world-is-it-impossible-to-view-the-night-sky-due-to-light-p,"observation,milky-way,light-pollution,night-sky"
1,,Which came first: Galaxies <=> Stars <=> Planets?,/questions/17817/which-came-first-galaxies-stars-planets,"cosmology,fundamental-astronomy"
0,,Not clear on how to calculate sub-radar latitude [closed],/questions/18510/not-clear-on-how-to-calculate-sub-radar-latitude,"telescope,astrophysics"
2,3,How did the Milky Way and Andromeda Galaxy separate before they began their collision course?,/questions/18242/how-did-the-milky-way-and-andromeda-galaxy-separate-before-they-began-their-coll,"gravity,galaxy,cosmology,milky-way"
1,,Light that travels eternally because of inflation?,/questions/14199/light-that-travels-eternally-because-of-inflation,"cosmology,general-relativity,cosmological-inflation,special-relativity"
2,,Do black holes pull in and keep spacetime itself or merely warp it but ultimately let it pass through?,/questions/18414/do-black-holes-pull-in-and-keep-spacetime-itself-or-merely-warp-it-but-ultimatel,"black-hole,space-time,mass"
2,,How many times has the sun orbited the galaxy? [duplicate],/questions/18199/how-many-times-has-the-sun-orbited-the-galaxy,"cosmology,milky-way"
2,,Amateur astronomy plan for GCSE students,/questions/18135/amateur-astronomy-plan-for-gcse-students,"amateur-observing,fundamental-astronomy,astrophotography"
1,,Percentage of charted stars,/questions/18104/percentage-of-charted-stars,"star,observation"
4,1,Has THC been detected in space?,/questions/14010/has-thc-been-detected-in-space,"telescope,space,astrochemistry"
0,,The light of which star is next to reach the earth?,/questions/18097/the-light-of-which-star-is-next-to-reach-the-earth,"star,light,speed,night-sky"
7,,How easy would be to see the Moon from Mars?,/questions/18526/how-easy-would-be-to-see-the-moon-from-mars,"the-moon,mars,naked-eye"
10,,How much clearer are stars in earths orbit?,/questions/18697/how-much-clearer-are-stars-in-earths-orbit,"atmosphere,night-sky"
0,,Cosmology: about the equations of expansions,/questions/18664/cosmology-about-the-equations-of-expansions,"cosmology,expansion"
0,,How to convert ra&dec between different epoches?,/questions/18714/how-to-convert-radec-between-different-epoches,"coordinate,epoch"
0,1,Cosmic microwave background radiation: why did it take so long to get here?,/questions/18741/cosmic-microwave-background-radiation-why-did-it-take-so-long-to-get-here,"astrophysics,fundamental-astronomy,big-bang-theory,radio-astronomy,cosmic-ray"
5,,Why does Kepler's “Big Picture” of comet 67P look so strange? And what is the significance?,/questions/18667/why-does-keplers-big-picture-of-comet-67p-look-so-strange-and-what-is-the-si,"comets,astrophotography,kepler"
0,,The drift of the Moon's equatorial rotation velocity,/questions/18677/the-drift-of-the-moons-equatorial-rotation-velocity,"the-moon,rotation"
3,,What is 'non-detection' of a Supernova?,/questions/18738/what-is-non-detection-of-a-supernova,supernova
22,,Is the Sun visible from Proxima Centauri to human eyes?,/questions/18039/is-the-sun-visible-from-proxima-centauri-to-human-eyes,"light,distances,naked-eye,apparent-magnitude,absolute-magnitude"
4,,Is communication with proxima b possible with todays technology?,/questions/18092/is-communication-with-proxima-b-possible-with-todays-technology,exoplanet
2,1,What type of telescope can show cliffs on the moon surface from a city location?,/questions/18337/what-type-of-telescope-can-show-cliffs-on-the-moon-surface-from-a-city-location,"telescope,surface,telescope-lens"
3,,Does the age of the universe take into account General Relativity / Special Relativity?,/questions/18599/does-the-age-of-the-universe-take-into-account-general-relativity-special-rela,"universe,observable-universe,units,age"
0,2,Is there evidence for the speed of gravity? [duplicate],/questions/18369/is-there-evidence-for-the-speed-of-gravity,"dark-matter,gravitational-waves"
4,,Energy deposition in planet Earth due to gravitational waves,/questions/18488/energy-deposition-in-planet-earth-due-to-gravitational-waves,"earth,gravitational-waves"
0,,Why haven't I seen the Moon?,/questions/18563/why-havent-i-seen-the-moon,"observation,amateur-observing,moon"
0,,Where can I find the DR12 SDSS dataset in their website,/questions/16297/where-can-i-find-the-dr12-sdss-dataset-in-their-website,"astrophysics,fundamental-astronomy,data-analysis,space-telescope"
1,,What could be past the particle horizon?,/questions/18452/what-could-be-past-the-particle-horizon,"astrophysics,big-bang-theory,horizon"
1,,Is there is any such thing as super massive white hole? How are they formed? And where are they present?,/questions/18208/is-there-is-any-such-thing-as-super-massive-white-hole-how-are-they-formed-and,"cosmology,white-hole"
4,,How could a neutron star collapse into a black hole?,/questions/14185/how-could-a-neutron-star-collapse-into-a-black-hole,"black-hole,general-relativity,stellar-evolution,neutron-star,degenerate-matter"
0,1,What does the coordinate of time really mean?,/questions/18231/what-does-the-coordinate-of-time-really-mean,"space-time,coordinate,time-dilation"
7,,Is the Sun in our solar system moving or stationary?,/questions/18154/is-the-sun-in-our-solar-system-moving-or-stationary,"sun,solar-system,milky-way,orbital-mechanics"
1,,What Is A Flashing Red Star? [closed],/questions/18096/what-is-a-flashing-red-star,"star,observation,amateur-observing,solar-eclipse"
0,,The light of which star is next to reach the earth?,/questions/18097/the-light-of-which-star-is-next-to-reach-the-earth,"star,light,speed,night-sky"
-2,2,What happens outside of the universe? [duplicate],/questions/14007/what-happens-outside-of-the-universe,"universe,space,expansion"
2,,Is there a type of star that emits relatively monochromatic visible light?,/questions/18047/is-there-a-type-of-star-that-emits-relatively-monochromatic-visible-light,"star,light"
3,,"If Jupiter was placed in Mars' orbit, how would Jupiter appear from the naked eye? [closed]",/questions/18053/if-jupiter-was-placed-in-mars-orbit-how-would-jupiter-appear-from-the-naked-ey,"orbit,jupiter,mars"
25,,Can a tectonically inactive planet retain a long-term atmosphere?,/questions/18573/can-a-tectonically-inactive-planet-retain-a-long-term-atmosphere,"atmosphere,magnetic-field,earth-like-planet"
18,3,"Where does the energy of light go, when it red-shifts?",/questions/18613/where-does-the-energy-of-light-go-when-it-red-shifts,"expansion,redshift"
3,,Why is the symbol of Vernal Equinox ♈?,/questions/18324/why-is-the-symbol-of-vernal-equinox,"coordinate,history,symbols"
1,1,What are the Similarities and Differences between ALMA and FAST?,/questions/18705/what-are-the-similarities-and-differences-between-alma-and-fast,radio-astronomy
5,,How long does a comet “live”?,/questions/18551/how-long-does-a-comet-live,"orbit,sun,comets"
1,2,What makes a flying object keep moving with the Earth's rotation? [closed],/questions/18659/what-makes-a-flying-object-keep-moving-with-the-earths-rotation,rotation
11,,Multi-messenger astronomy: what is the potential of simultaneous detection of gravitational waves and neutrinos from a supernova?,/questions/18559/multi-messenger-astronomy-what-is-the-potential-of-simultaneous-detection-of-gr,"supernova,gravitational-waves,neutrinos,interferometry"
-1,2,Distance of various constellations from Earth,/questions/17988/distance-of-various-constellations-from-earth,"distances,constellations"
5,,"Why can we see the Pillars of Creation, but not Proxima B?",/questions/18083/why-can-we-see-the-pillars-of-creation-but-not-proxima-b,"planet,exoplanet"
1,,"If radiowaves are reflected from objects (i.e planets) and they can penetrate a bit in the surface, we could image the subsurface right? [closed]",/questions/18207/if-radiowaves-are-reflected-from-objects-i-e-planets-and-they-can-penetrate-a,"planet,telescope,radio-astronomy"
0,,Is time's unique direction the same consequence as space expansion ? Is expansion homogeneous? [duplicate],/questions/18576/is-times-unique-direction-the-same-consequence-as-space-expansion-is-expansio,"universe,space-time,space,expansion"
2,,Does the detection of gravitational waves prove we can travel faster than the speed of light? [migrated],/questions/18362/does-the-detection-of-gravitational-waves-prove-we-can-travel-faster-than-the-sp,"gravity,gravitational-waves,speed"
3,,Can Earth host another natural satellite than the Moon?,/questions/18477/can-earth-host-another-natural-satellite-than-the-moon,"the-moon,earth"
6,1,What is the composition of the Solar Wind?,/questions/18378/what-is-the-composition-of-the-solar-wind,"observation,solar-wind,elemental-abundances"
0,,Books describing first-hand experience of astrophysicists finding planets without skipping actual maths,/questions/16161/books-describing-first-hand-experience-of-astrophysicists-finding-planets-withou,"astrophysics,fundamental-astronomy,resource,reference-request"
2,,How massive must a rocky body be to liquify adequately to eliminate internal mass concentrations that could disrupt natural satellite orbits?,/questions/18179/how-massive-must-a-rocky-body-be-to-liquify-adequately-to-eliminate-internal-mas,"orbit,astrophysics,natural-satellites,geology"
2,,How many times has the sun orbited the galaxy? [duplicate],/questions/18199/how-many-times-has-the-sun-orbited-the-galaxy,"cosmology,milky-way"
0,,How far into the future can we go by traveling close to a black hole?,/questions/14133/how-far-into-the-future-can-we-go-by-traveling-close-to-a-black-hole,"black-hole,space-time,general-relativity,special-relativity,time-dilation"
2,,Is there mass i.e a physical bottom to a black hole? [duplicate],/questions/18215/is-there-mass-i-e-a-physical-bottom-to-a-black-hole,"gravity,black-hole,space-time,space"
1,,Black hole at Galactic Center of the Milky way and Bar of stars?,/questions/16734/black-hole-at-galactic-center-of-the-milky-way-and-bar-of-stars,milky-way
5,,"Why are the stars in my image so green (false color image, HSO palette)?",/questions/18079/why-are-the-stars-in-my-image-so-green-false-color-image-hso-palette,"amateur-observing,astrophotography"
1,,What Is A Flashing Red Star? [closed],/questions/18096/what-is-a-flashing-red-star,"star,observation,amateur-observing,solar-eclipse"
6,,How does the concept of a universe with no center work?,/questions/13999/how-does-the-concept-of-a-universe-with-no-center-work,"galaxy,universe,space,space-time,expansion"
22,,Is the Sun visible from Proxima Centauri to human eyes?,/questions/18039/is-the-sun-visible-from-proxima-centauri-to-human-eyes,"light,distances,naked-eye,apparent-magnitude,absolute-magnitude"
0,,Faint whitish-blue light around the moon [duplicate],/questions/18736/faint-whitish-blue-light-around-the-moon,"the-moon,night-sky"
0,,Is it the Sun's magnetic field waves that keep objects in our solar system within a plane? [duplicate],/questions/18612/is-it-the-suns-magnetic-field-waves-that-keep-objects-in-our-solar-system-withi,"orbit,solar-system,galaxy,magnetic-field"
1,,Modifying Heisenberg's unified field theory with gravity [on hold],/questions/18721/modifying-heisenbergs-unified-field-theory-with-gravity,"gravity,quantum-field-theory"
0,,Fate of helium moving toward a singularity,/questions/18750/fate-of-helium-moving-toward-a-singularity,"black-hole,helium,singularity"
0,1,Cosmic microwave background radiation: why did it take so long to get here?,/questions/18741/cosmic-microwave-background-radiation-why-did-it-take-so-long-to-get-here,"astrophysics,fundamental-astronomy,big-bang-theory,radio-astronomy,cosmic-ray"
3,,Fingers of God effect for galaxy clusters,/questions/18743/fingers-of-god-effect-for-galaxy-clusters,"galaxy,redshift,galaxy-cluster,peculiar-velocities"
4,,Do Jupiter and the Moon help to protect the Earth agains comets/asteroids impacts?,/questions/18492/do-jupiter-and-the-moon-help-to-protect-the-earth-agains-comets-asteroids-impact,"asteroids,jupiter,comets,moon"
2,,"If Mars were tidally locked to the Sun, what would the temperatures on its surface be like?",/questions/18023/if-mars-were-tidally-locked-to-the-sun-what-would-the-temperatures-on-its-surfa,"sun,mars,temperature"
1,3,According to my calculations Jupiter's moons do not follow Kepler's 3rd law - Why is that?,/questions/18690/according-to-my-calculations-jupiters-moons-do-not-follow-keplers-3rd-law-wh,"jupiter,kepler"
2,2,Terminology: planet plus atmosphere vs planet and atmosphere as separate things,/questions/18293/terminology-planet-plus-atmosphere-vs-planet-and-atmosphere-as-separate-things,"planet,atmosphere,terminology"
6,,"In km/h, what actually is the “speed” of Andromeda away from us: cosmologically?",/questions/18609/in-km-h-what-actually-is-the-speed-of-andromeda-away-from-us-cosmologically,"expansion,redshift"
0,1,What does the coordinate of time really mean?,/questions/18231/what-does-the-coordinate-of-time-really-mean,"space-time,coordinate,time-dilation"
1,,Astronomy & machine learning. Where to start? [closed],/questions/18672/astronomy-machine-learning-where-to-start,"observation,astrophysics,radio-astronomy,data-analysis"
3,,Does the loss of mass create an observable change in a comet's orbit?,/questions/18539/does-the-loss-of-mass-create-an-observable-change-in-a-comets-orbit,"orbit,sun,comets"
1,,What makes the Earth infinitely rotating around its axis,/questions/18420/what-makes-the-earth-infinitely-rotating-around-its-axis,"earth,rotation"
1,1,Convert MJD date range to number of days elapsed in IDL,/questions/18482/convert-mjd-date-range-to-number-of-days-elapsed-in-idl,supernova
2,,Using the surface-brightness relation for Cepheids,/questions/17972/using-the-surface-brightness-relation-for-cepheids,"distances,photometry,angular-diameter,cepheids"
1,2,Are there any measurements of other galaxies indicating the existence of exoplanets?,/questions/18061/are-there-any-measurements-of-other-galaxies-indicating-the-existence-of-exoplan,"galaxy,exoplanet"
3,1,Can a telescope be built to focus on a point source star?,/questions/18202/can-a-telescope-be-built-to-focus-on-a-point-source-star,"telescope,optics,planetary-transits"
3,,What suggests the cyclic nature of the universe? Proposed by Stephen Hawking,/questions/18198/what-suggests-the-cyclic-nature-of-the-universe-proposed-by-stephen-hawking,universe
6,,Do supernovae produce powerful gravitational waves?,/questions/18347/do-supernovae-produce-powerful-gravitational-waves,"supernova,gravitational-waves"
1,,What makes the Earth infinitely rotating around its axis,/questions/18420/what-makes-the-earth-infinitely-rotating-around-its-axis,"earth,rotation"
1,1,Angles of sunrise and sunset viewed from a surface anyway oriented,/questions/18218/angles-of-sunrise-and-sunset-viewed-from-a-surface-anyway-oriented,"sun,earth,observation,surface"
0,,IDL (particularly GBTIDL) velocity axis explanation?,/questions/15058/idl-particularly-gbtidl-velocity-axis-explanation,fundamental-astronomy
2,1,Is a black hole made from a anti-matter star the same as a ordinary black hole?,/questions/18158/is-a-black-hole-made-from-a-anti-matter-star-the-same-as-a-ordinary-black-hole,astrophysics
2,,How can we use hypervelocity stars to determine the origins of the Universe?,/questions/18144/how-can-we-use-hypervelocity-stars-to-determine-the-origins-of-the-universe,"universe,cosmology,big-bang-theory,future"
3,1,Gravitational Waves and the Big bang,/questions/14121/gravitational-waves-and-the-big-bang,"light,general-relativity,big-bang-theory,gravitational-waves"
-1,1,Can we observe the Milky Way on the edge of the universe? [closed],/questions/18102/can-we-observe-the-milky-way-on-the-edge-of-the-universe,"cosmology,space-time"
2,,Galaxy centre X structure - could this reflect impact of black hole at galactic centre,/questions/16648/galaxy-centre-x-structure-could-this-reflect-impact-of-black-hole-at-galactic,"milky-way,supermassive-black-hole"
1,3,Can satellites travel in clusters?,/questions/18001/can-satellites-travel-in-clusters,"orbit,amateur-observing,artificial-satellite"
1,1,Is it possible to calculate distance between two objects?,/questions/18063/is-it-possible-to-calculate-distance-between-two-objects,"star,distances"
